txn_id,error_code,recovery_class,amount,attempt,action,delay_h,reason,succeeded,_true_cause
153,card_declined,HARD_DECLINE,578.76,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
161,payment_declined,HARD_DECLINE,92.43,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
161,payment_declined,HARD_DECLINE,92.43,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,AUTH_FAIL
205,payment_declined,HARD_DECLINE,2763.7,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
205,payment_declined,HARD_DECLINE,2763.7,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
205,payment_declined,HARD_DECLINE,2763.7,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
209,credit_failed,HARD_DECLINE,2183.8,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,AUTH_FAIL
308,card_declined,HARD_DECLINE,4979.68,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
308,card_declined,HARD_DECLINE,4979.68,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,LIMIT_EXCEEDED
308,card_declined,HARD_DECLINE,4979.68,3,RETRY,72.0,fixed schedule attempt 3 at +72h,True,LIMIT_EXCEEDED
314,payment_declined,HARD_DECLINE,697.39,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
336,payment_cancelled,ABANDONED,3090.38,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
336,payment_cancelled,ABANDONED,3090.38,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
336,payment_cancelled,ABANDONED,3090.38,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
347,payment_declined,HARD_DECLINE,3535.92,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
355,payment_timed_out,SOFT_TRANSIENT,53.59,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
377,payment_declined,HARD_DECLINE,1948.35,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
377,payment_declined,HARD_DECLINE,1948.35,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
377,payment_declined,HARD_DECLINE,1948.35,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
427,insufficient_funds,FUNDS,1624.03,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
427,insufficient_funds,FUNDS,1624.03,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
427,insufficient_funds,FUNDS,1624.03,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
438,payment_declined,HARD_DECLINE,1647.76,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
438,payment_declined,HARD_DECLINE,1647.76,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
438,payment_declined,HARD_DECLINE,1647.76,3,RETRY,72.0,fixed schedule attempt 3 at +72h,True,AUTH_FAIL
452,incorrect_cvv,AUTH_FAILED,328.89,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
452,incorrect_cvv,AUTH_FAILED,328.89,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
452,incorrect_cvv,AUTH_FAILED,328.89,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
467,bank_technical_error,SOFT_TRANSIENT,2140.99,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
498,gateway_technical_error,SOFT_TRANSIENT,9788.88,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
510,payment_declined,HARD_DECLINE,1241.62,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
510,payment_declined,HARD_DECLINE,1241.62,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,AUTH_FAIL
536,payment_failed,HARD_DECLINE,1553.56,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
541,insufficient_funds,FUNDS,4744.9,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
541,insufficient_funds,FUNDS,4744.9,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,NO_FUNDS
549,insufficient_funds,FUNDS,4315.84,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
549,insufficient_funds,FUNDS,4315.84,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
549,insufficient_funds,FUNDS,4315.84,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
636,invalid_vpa,METHOD_BROKEN,177.0,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
636,invalid_vpa,METHOD_BROKEN,177.0,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
636,invalid_vpa,METHOD_BROKEN,177.0,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
641,bank_technical_error,SOFT_TRANSIENT,127.51,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,ISSUER_DOWN
641,bank_technical_error,SOFT_TRANSIENT,127.51,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,ISSUER_DOWN
709,gateway_technical_error,SOFT_TRANSIENT,2793.71,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
738,payment_declined,HARD_DECLINE,560.38,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
738,payment_declined,HARD_DECLINE,560.38,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
757,payment_collect_request_expired,ABANDONED,563.37,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,CUSTOMER_ABANDON
853,payment_timed_out,SOFT_TRANSIENT,4074.86,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,GATEWAY_ISSUE
853,payment_timed_out,SOFT_TRANSIENT,4074.86,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,GATEWAY_ISSUE
939,card_not_enrolled,METHOD_BROKEN,3693.53,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
939,card_not_enrolled,METHOD_BROKEN,3693.53,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
939,card_not_enrolled,METHOD_BROKEN,3693.53,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
992,customer_bank_account_mismatch,METHOD_BROKEN,2776.54,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
992,customer_bank_account_mismatch,METHOD_BROKEN,2776.54,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
992,customer_bank_account_mismatch,METHOD_BROKEN,2776.54,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
1005,gateway_technical_error,SOFT_TRANSIENT,5481.61,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1044,card_declined,HARD_DECLINE,228.48,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1044,card_declined,HARD_DECLINE,228.48,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1047,payment_timed_out,SOFT_TRANSIENT,487.14,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1047,payment_timed_out,SOFT_TRANSIENT,487.14,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1047,payment_timed_out,SOFT_TRANSIENT,487.14,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1056,credit_failed,HARD_DECLINE,3420.67,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1056,credit_failed,HARD_DECLINE,3420.67,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
1056,credit_failed,HARD_DECLINE,3420.67,3,RETRY,72.0,fixed schedule attempt 3 at +72h,True,AUTH_FAIL
1060,credit_failed,HARD_DECLINE,672.41,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1060,credit_failed,HARD_DECLINE,672.41,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,AUTH_FAIL
1091,payment_cancelled,ABANDONED,2729.35,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1091,payment_cancelled,ABANDONED,2729.35,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,CUSTOMER_ABANDON
1094,payment_declined,HARD_DECLINE,1073.94,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1094,payment_declined,HARD_DECLINE,1073.94,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1106,gateway_technical_error,SOFT_TRANSIENT,673.22,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,GATEWAY_ISSUE
1106,gateway_technical_error,SOFT_TRANSIENT,673.22,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,GATEWAY_ISSUE
1111,credit_failed,HARD_DECLINE,1375.06,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1111,credit_failed,HARD_DECLINE,1375.06,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1171,card_declined,HARD_DECLINE,3402.09,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1171,card_declined,HARD_DECLINE,3402.09,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1171,card_declined,HARD_DECLINE,3402.09,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1233,payment_timed_out,SOFT_TRANSIENT,1943.75,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1241,bank_technical_error,SOFT_TRANSIENT,916.42,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
1255,payment_declined,HARD_DECLINE,609.38,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
1272,bank_technical_error,SOFT_TRANSIENT,2132.64,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
1274,payment_declined,HARD_DECLINE,4117.26,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1274,payment_declined,HARD_DECLINE,4117.26,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1274,payment_declined,HARD_DECLINE,4117.26,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1311,credit_failed,HARD_DECLINE,3278.24,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1311,credit_failed,HARD_DECLINE,3278.24,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1356,invalid_vpa,METHOD_BROKEN,1331.4,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
1356,invalid_vpa,METHOD_BROKEN,1331.4,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
1356,invalid_vpa,METHOD_BROKEN,1331.4,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
1360,card_declined,HARD_DECLINE,1791.65,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1360,card_declined,HARD_DECLINE,1791.65,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1360,card_declined,HARD_DECLINE,1791.65,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1366,authentication_failed,AUTH_FAILED,141.16,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1366,authentication_failed,AUTH_FAILED,141.16,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
1366,authentication_failed,AUTH_FAILED,141.16,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
1424,payment_cancelled,ABANDONED,8553.04,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1424,payment_cancelled,ABANDONED,8553.04,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1424,payment_cancelled,ABANDONED,8553.04,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1441,authentication_failed,AUTH_FAILED,1939.37,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,AUTH_FAIL
1460,payment_failed,HARD_DECLINE,487.0,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
1465,payment_declined,HARD_DECLINE,558.62,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
1471,insufficient_funds,FUNDS,748.02,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
1481,gateway_technical_error,SOFT_TRANSIENT,2201.14,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1492,payment_declined,HARD_DECLINE,2124.97,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1492,payment_declined,HARD_DECLINE,2124.97,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
1492,payment_declined,HARD_DECLINE,2124.97,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
1494,gateway_technical_error,SOFT_TRANSIENT,5193.04,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1538,payment_risk_check_failed,FRAUD,1596.12,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,RISK_BLOCK
1538,payment_risk_check_failed,FRAUD,1596.12,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,RISK_BLOCK
1538,payment_risk_check_failed,FRAUD,1596.12,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,RISK_BLOCK
1578,gateway_technical_error,SOFT_TRANSIENT,649.32,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1579,payment_declined,HARD_DECLINE,2890.5,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1579,payment_declined,HARD_DECLINE,2890.5,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1579,payment_declined,HARD_DECLINE,2890.5,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1659,payment_failed,HARD_DECLINE,846.2,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
1675,payment_cancelled,ABANDONED,309.15,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1675,payment_cancelled,ABANDONED,309.15,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1675,payment_cancelled,ABANDONED,309.15,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1699,bank_technical_error,SOFT_TRANSIENT,465.4,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
1719,payment_cancelled,ABANDONED,845.13,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1719,payment_cancelled,ABANDONED,845.13,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1719,payment_cancelled,ABANDONED,845.13,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1725,insufficient_funds,FUNDS,1721.38,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1725,insufficient_funds,FUNDS,1721.38,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1725,insufficient_funds,FUNDS,1721.38,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1730,payment_collect_request_expired,ABANDONED,295.39,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,CUSTOMER_ABANDON
1773,gateway_technical_error,SOFT_TRANSIENT,2358.9,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
1859,payment_declined,HARD_DECLINE,739.9,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1859,payment_declined,HARD_DECLINE,739.9,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,AUTH_FAIL
1901,payment_declined,HARD_DECLINE,318.97,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1901,payment_declined,HARD_DECLINE,318.97,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1912,payment_declined,HARD_DECLINE,776.89,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
1930,payment_cancelled,ABANDONED,236.29,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
1930,payment_cancelled,ABANDONED,236.29,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
1930,payment_cancelled,ABANDONED,236.29,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
1932,insufficient_funds,FUNDS,3550.17,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
1932,insufficient_funds,FUNDS,3550.17,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
1932,insufficient_funds,FUNDS,3550.17,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
1944,vpa_resolution_failed,METHOD_BROKEN,990.12,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
1944,vpa_resolution_failed,METHOD_BROKEN,990.12,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
1944,vpa_resolution_failed,METHOD_BROKEN,990.12,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
1973,payment_declined,HARD_DECLINE,1700.38,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
1973,payment_declined,HARD_DECLINE,1700.38,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
1973,payment_declined,HARD_DECLINE,1700.38,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
1987,credit_failed,HARD_DECLINE,9338.61,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,LIMIT_EXCEEDED
1987,credit_failed,HARD_DECLINE,9338.61,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,LIMIT_EXCEEDED
1999,gateway_technical_error,SOFT_TRANSIENT,359.72,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2003,customer_bank_account_mismatch,METHOD_BROKEN,1872.24,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
2003,customer_bank_account_mismatch,METHOD_BROKEN,1872.24,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
2003,customer_bank_account_mismatch,METHOD_BROKEN,1872.24,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
2066,payment_timed_out,SOFT_TRANSIENT,5916.69,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2166,payment_timed_out,SOFT_TRANSIENT,1676.04,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2182,payment_declined,HARD_DECLINE,4986.46,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,NO_FUNDS
2182,payment_declined,HARD_DECLINE,4986.46,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,NO_FUNDS
2182,payment_declined,HARD_DECLINE,4986.46,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,NO_FUNDS
2185,payment_timed_out,SOFT_TRANSIENT,4462.16,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2205,gateway_technical_error,SOFT_TRANSIENT,10401.83,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2260,incorrect_cvv,AUTH_FAILED,328.33,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
2260,incorrect_cvv,AUTH_FAILED,328.33,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
2260,incorrect_cvv,AUTH_FAILED,328.33,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
2279,insufficient_funds,FUNDS,2650.02,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
2309,payment_declined,HARD_DECLINE,363.8,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
2309,payment_declined,HARD_DECLINE,363.8,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
2309,payment_declined,HARD_DECLINE,363.8,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
2352,insufficient_funds,FUNDS,3274.93,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
2364,bank_technical_error,SOFT_TRANSIENT,1255.44,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
2365,payment_cancelled,ABANDONED,4907.26,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
2365,payment_cancelled,ABANDONED,4907.26,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,CUSTOMER_ABANDON
2404,incorrect_cvv,AUTH_FAILED,1272.44,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
2404,incorrect_cvv,AUTH_FAILED,1272.44,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
2404,incorrect_cvv,AUTH_FAILED,1272.44,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
2418,payment_declined,HARD_DECLINE,306.79,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,NO_FUNDS
2422,gateway_technical_error,SOFT_TRANSIENT,964.32,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2457,payment_timed_out,SOFT_TRANSIENT,3106.25,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,GATEWAY_ISSUE
2457,payment_timed_out,SOFT_TRANSIENT,3106.25,2,RETRY,24.0,fixed schedule attempt 2 at +24h,True,GATEWAY_ISSUE
2521,payment_cancelled,ABANDONED,877.58,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
2521,payment_cancelled,ABANDONED,877.58,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
2521,payment_cancelled,ABANDONED,877.58,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
2533,gateway_technical_error,SOFT_TRANSIENT,889.22,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
2538,credit_failed,HARD_DECLINE,337.5,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
2538,credit_failed,HARD_DECLINE,337.5,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
2538,credit_failed,HARD_DECLINE,337.5,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
2569,debit_instrument_inactive,METHOD_BROKEN,249.76,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
2569,debit_instrument_inactive,METHOD_BROKEN,249.76,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
2569,debit_instrument_inactive,METHOD_BROKEN,249.76,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
