txn_id,error_code,recovery_class,amount,attempt,action,delay_h,reason,succeeded,_true_cause
205,payment_declined,HARD_DECLINE,2763.7,1,NUDGE,0.5,NUDGE at +0.5h | p=0.176 pen=0.00 EV=484.2 seq=946.5 (best of 18 candidates),False,NO_FUNDS
205,payment_declined,HARD_DECLINE,2763.7,2,NUDGE,2.0,NUDGE at +2h | p=0.203 pen=0.00 EV=560.7 seq=790.5 (best of 15 candidates),False,NO_FUNDS
205,payment_declined,HARD_DECLINE,2763.7,3,NUDGE,12.0,NUDGE at +12h | p=0.105 pen=0.00 EV=288.3 seq=490.9 (best of 13 candidates),False,NO_FUNDS
205,payment_declined,HARD_DECLINE,2763.7,4,NUDGE,24.0,NUDGE at +24h | p=0.082 pen=0.00 EV=226.2 seq=226.2 (best of 9 candidates),False,NO_FUNDS
209,credit_failed,HARD_DECLINE,2183.8,1,NUDGE,0.5,NUDGE at +0.5h | p=0.167 pen=0.00 EV=364.0 seq=696.2 (best of 18 candidates),True,AUTH_FAIL
308,card_declined,HARD_DECLINE,4979.68,1,NUDGE,0.5,NUDGE at +0.5h | p=0.252 pen=0.00 EV=1251.6 seq=2202.2 (best of 18 candidates),False,LIMIT_EXCEEDED
308,card_declined,HARD_DECLINE,4979.68,2,NUDGE,2.0,NUDGE at +2h | p=0.255 pen=0.00 EV=1270.1 seq=1848.0 (best of 15 candidates),False,LIMIT_EXCEEDED
308,card_declined,HARD_DECLINE,4979.68,3,NUDGE,12.0,NUDGE at +12h | p=0.156 pen=0.00 EV=776.0 seq=1418.1 (best of 13 candidates),False,LIMIT_EXCEEDED
308,card_declined,HARD_DECLINE,4979.68,4,NUDGE,24.0,NUDGE at +24h | p=0.153 pen=0.00 EV=760.9 seq=760.9 (best of 9 candidates),False,LIMIT_EXCEEDED
314,payment_declined,HARD_DECLINE,697.39,1,NUDGE,0.5,NUDGE at +0.5h | p=0.272 pen=0.00 EV=188.5 seq=440.4 (best of 18 candidates),False,NO_FUNDS
314,payment_declined,HARD_DECLINE,697.39,2,RETRY,48.0,RETRY at +48h | p=0.534 pen=0.12 EV=340.4 seq=458.0 (best of 15 candidates),True,NO_FUNDS
336,payment_cancelled,ABANDONED,3090.38,1,NUDGE,2.0,NUDGE at +2h | p=0.252 pen=0.00 EV=777.6 seq=1332.0 (best of 18 candidates),True,CUSTOMER_ABANDON
347,payment_declined,HARD_DECLINE,3535.92,1,NUDGE,0.5,NUDGE at +0.5h | p=0.313 pen=0.00 EV=1107.4 seq=1878.2 (best of 18 candidates),False,ISSUER_DOWN
347,payment_declined,HARD_DECLINE,3535.92,2,NUDGE,2.0,NUDGE at +2h | p=0.318 pen=0.00 EV=1122.7 seq=1807.6 (best of 15 candidates),False,ISSUER_DOWN
347,payment_declined,HARD_DECLINE,3535.92,3,NUDGE,12.0,NUDGE at +12h | p=0.119 pen=0.00 EV=419.6 seq=1304.1 (best of 13 candidates),False,ISSUER_DOWN
347,payment_declined,HARD_DECLINE,3535.92,4,RETRY,48.0,RETRY at +48h | p=0.288 pen=0.04 EV=1003.9 seq=1003.9 (best of 9 candidates),True,ISSUER_DOWN
355,payment_timed_out,SOFT_TRANSIENT,53.59,1,RETRY,72.0,RETRY at +72h | p=0.720 pen=0.00 EV=36.1 seq=44.4 (best of 18 candidates),True,GATEWAY_ISSUE
377,payment_declined,HARD_DECLINE,1948.35,1,RETRY,120.0,RETRY at +120h | p=0.340 pen=0.07 EV=643.3 seq=1012.8 (best of 18 candidates),True,NO_FUNDS
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,1,NUDGE,2.0,NUDGE at +2h | p=0.165 pen=0.00 EV=325.7 seq=829.0 (best of 18 candidates),False,INSTRUMENT_STATE
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,2,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.307 pen=0.00 EV=603.0 seq=782.2 (best of 13 candidates),False,INSTRUMENT_STATE
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,3,NUDGE,12.0,NUDGE at +12h | p=0.131 pen=0.00 EV=258.5 seq=481.9 (best of 11 candidates),False,INSTRUMENT_STATE
382,debit_instrument_inactive,METHOD_BROKEN,1974.2,4,NUDGE,24.0,NUDGE at +24h | p=0.131 pen=0.00 EV=257.3 seq=257.3 (best of 9 candidates),False,INSTRUMENT_STATE
427,insufficient_funds,FUNDS,1624.03,1,RETRY,48.0,RETRY at +48h | p=0.480 pen=0.00 EV=776.3 seq=1038.7 (best of 18 candidates),False,NO_FUNDS
427,insufficient_funds,FUNDS,1624.03,2,RETRY,168.0,RETRY at +168h | p=0.312 pen=0.00 EV=504.3 seq=504.3 (best of 3 candidates),False,NO_FUNDS
438,payment_declined,HARD_DECLINE,1647.76,1,RETRY,48.0,RETRY at +48h | p=0.417 pen=0.04 EV=675.3 seq=986.3 (best of 18 candidates),False,AUTH_FAIL
438,payment_declined,HARD_DECLINE,1647.76,2,RETRY,72.0,RETRY at +72h | p=0.329 pen=0.08 EV=520.9 seq=825.1 (best of 3 candidates),False,AUTH_FAIL
438,payment_declined,HARD_DECLINE,1647.76,3,RETRY,120.0,RETRY at +120h | p=0.281 pen=0.08 EV=441.4 seq=767.3 (best of 2 candidates),True,AUTH_FAIL
452,incorrect_cvv,AUTH_FAILED,328.89,1,RETRY,0.5,RETRY at +0.5h | p=0.402 pen=0.00 EV=129.7 seq=161.1 (best of 18 candidates),False,AUTH_FAIL
452,incorrect_cvv,AUTH_FAILED,328.89,2,NUDGE,2.0,NUDGE at +2h | p=0.162 pen=0.00 EV=52.5 seq=87.9 (best of 15 candidates),True,AUTH_FAIL
467,bank_technical_error,SOFT_TRANSIENT,2140.99,1,RETRY,24.0,RETRY at +24h | p=0.812 pen=0.00 EV=1735.3 seq=2068.0 (best of 18 candidates),True,ISSUER_DOWN
498,gateway_technical_error,SOFT_TRANSIENT,9788.88,1,RETRY,48.0,RETRY at +48h | p=0.862 pen=0.00 EV=8433.0 seq=9623.2 (best of 18 candidates),True,GATEWAY_ISSUE
510,payment_declined,HARD_DECLINE,1241.62,1,NUDGE,0.5,NUDGE at +0.5h | p=0.291 pen=0.00 EV=360.2 seq=659.8 (best of 18 candidates),False,AUTH_FAIL
510,payment_declined,HARD_DECLINE,1241.62,2,NUDGE,2.0,NUDGE at +2h | p=0.234 pen=0.00 EV=289.4 seq=613.0 (best of 15 candidates),True,AUTH_FAIL
536,payment_failed,HARD_DECLINE,1553.56,1,RETRY,48.0,RETRY at +48h | p=0.380 pen=0.01 EV=586.0 seq=870.3 (best of 18 candidates),True,NO_FUNDS
541,insufficient_funds,FUNDS,4744.9,1,NUDGE,0.5,NUDGE at +0.5h | p=0.175 pen=0.00 EV=827.8 seq=1700.3 (best of 18 candidates),False,NO_FUNDS
541,insufficient_funds,FUNDS,4744.9,2,NUDGE,2.0,NUDGE at +2h | p=0.223 pen=0.00 EV=1057.1 seq=1657.6 (best of 15 candidates),True,NO_FUNDS
549,insufficient_funds,FUNDS,4315.84,1,NUDGE,0.5,NUDGE at +0.5h | p=0.237 pen=0.00 EV=1022.3 seq=1825.2 (best of 18 candidates),False,NO_FUNDS
549,insufficient_funds,FUNDS,4315.84,2,NUDGE,2.0,NUDGE at +2h | p=0.244 pen=0.00 EV=1052.4 seq=1681.7 (best of 15 candidates),True,NO_FUNDS
636,invalid_vpa,METHOD_BROKEN,177.0,1,SWITCH_METHOD,24.0,SWITCH_METHOD at +24h | p=0.398 pen=0.00 EV=68.0 seq=107.9 (best of 18 candidates),True,INSTRUMENT_STATE
641,bank_technical_error,SOFT_TRANSIENT,127.51,1,RETRY,120.0,RETRY at +120h | p=0.797 pen=0.00 EV=99.1 seq=119.7 (best of 18 candidates),True,ISSUER_DOWN
709,gateway_technical_error,SOFT_TRANSIENT,2793.71,1,RETRY,6.0,RETRY at +6h | p=0.846 pen=0.00 EV=2359.9 seq=2722.3 (best of 18 candidates),True,GATEWAY_ISSUE
738,payment_declined,HARD_DECLINE,560.38,1,RETRY,48.0,RETRY at +48h | p=0.533 pen=0.01 EV=293.7 seq=377.8 (best of 18 candidates),False,AUTH_FAIL
738,payment_declined,HARD_DECLINE,560.38,2,RETRY,72.0,RETRY at +72h | p=0.343 pen=0.04 EV=179.0 seq=275.5 (best of 3 candidates),True,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,1,NUDGE,0.5,NUDGE at +0.5h | p=0.188 pen=0.00 EV=229.6 seq=507.6 (best of 18 candidates),False,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,2,NUDGE,2.0,NUDGE at +2h | p=0.180 pen=0.00 EV=220.2 seq=500.9 (best of 15 candidates),False,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,3,NUDGE,12.0,NUDGE at +12h | p=0.092 pen=0.00 EV=111.4 seq=422.4 (best of 13 candidates),False,AUTH_FAIL
753,payment_declined,HARD_DECLINE,1226.79,4,RETRY,48.0,RETRY at +48h | p=0.283 pen=0.01 EV=342.3 seq=342.3 (best of 9 candidates),False,AUTH_FAIL
757,payment_collect_request_expired,ABANDONED,563.37,1,NUDGE,0.5,NUDGE at +0.5h | p=0.296 pen=0.00 EV=166.1 seq=288.1 (best of 18 candidates),True,CUSTOMER_ABANDON
853,payment_timed_out,SOFT_TRANSIENT,4074.86,1,RETRY,2.0,RETRY at +2h | p=0.678 pen=0.00 EV=2762.0 seq=3523.6 (best of 18 candidates),False,GATEWAY_ISSUE
853,payment_timed_out,SOFT_TRANSIENT,4074.86,2,RETRY,12.0,RETRY at +12h | p=0.541 pen=0.00 EV=2202.4 seq=3157.5 (best of 13 candidates),True,GATEWAY_ISSUE
939,card_not_enrolled,METHOD_BROKEN,3693.53,1,SWITCH_METHOD,0.5,SWITCH_METHOD at +0.5h | p=0.611 pen=0.00 EV=2253.9 seq=3123.3 (best of 18 candidates),False,INSTRUMENT_STATE
939,card_not_enrolled,METHOD_BROKEN,3693.53,2,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.606 pen=0.00 EV=2234.4 seq=3094.5 (best of 15 candidates),False,INSTRUMENT_STATE
939,card_not_enrolled,METHOD_BROKEN,3693.53,3,SWITCH_METHOD,24.0,SWITCH_METHOD at +24h | p=0.584 pen=0.00 EV=2156.1 seq=3062.4 (best of 11 candidates),False,INSTRUMENT_STATE
939,card_not_enrolled,METHOD_BROKEN,3693.53,4,SWITCH_METHOD,48.0,SWITCH_METHOD at +48h | p=0.591 pen=0.00 EV=2181.0 seq=2181.0 (best of 6 candidates),False,INSTRUMENT_STATE
992,customer_bank_account_mismatch,METHOD_BROKEN,2776.54,1,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.451 pen=0.00 EV=1250.6 seq=1909.5 (best of 18 candidates),True,INSTRUMENT_STATE
1005,gateway_technical_error,SOFT_TRANSIENT,5481.61,1,RETRY,48.0,RETRY at +48h | p=0.792 pen=0.00 EV=4341.2 seq=5250.0 (best of 18 candidates),True,GATEWAY_ISSUE
1044,card_declined,HARD_DECLINE,228.48,1,RETRY,120.0,RETRY at +120h | p=0.746 pen=0.02 EV=162.9 seq=182.4 (best of 18 candidates),False,LIMIT_EXCEEDED
1044,card_declined,HARD_DECLINE,228.48,2,RETRY,168.0,RETRY at +168h | p=0.404 pen=0.05 EV=76.4 seq=76.4 (best of 1 candidates),True,LIMIT_EXCEEDED
1047,payment_timed_out,SOFT_TRANSIENT,487.14,1,RETRY,120.0,RETRY at +120h | p=0.653 pen=0.00 EV=315.7 seq=404.5 (best of 18 candidates),False,CUSTOMER_ABANDON
1047,payment_timed_out,SOFT_TRANSIENT,487.14,2,RETRY,168.0,RETRY at +168h | p=0.531 pen=0.00 EV=256.1 seq=256.1 (best of 1 candidates),False,CUSTOMER_ABANDON
1056,credit_failed,HARD_DECLINE,3420.67,1,NUDGE,0.5,NUDGE at +0.5h | p=0.194 pen=0.00 EV=664.4 seq=1163.9 (best of 18 candidates),False,AUTH_FAIL
1056,credit_failed,HARD_DECLINE,3420.67,2,NUDGE,2.0,NUDGE at +2h | p=0.182 pen=0.00 EV=620.1 seq=968.1 (best of 15 candidates),True,AUTH_FAIL
1060,credit_failed,HARD_DECLINE,672.41,1,NUDGE,0.5,NUDGE at +0.5h | p=0.179 pen=0.00 EV=119.1 seq=272.9 (best of 18 candidates),False,AUTH_FAIL
1060,credit_failed,HARD_DECLINE,672.41,2,NUDGE,2.0,NUDGE at +2h | p=0.176 pen=0.00 EV=117.6 seq=271.8 (best of 15 candidates),True,AUTH_FAIL
1091,payment_cancelled,ABANDONED,2729.35,1,NUDGE,0.5,NUDGE at +0.5h | p=0.328 pen=0.00 EV=894.0 seq=1435.1 (best of 18 candidates),False,CUSTOMER_ABANDON
1091,payment_cancelled,ABANDONED,2729.35,2,NUDGE,2.0,NUDGE at +2h | p=0.295 pen=0.00 EV=805.0 seq=1334.0 (best of 15 candidates),True,CUSTOMER_ABANDON
1094,payment_declined,HARD_DECLINE,1073.94,1,NUDGE,0.5,NUDGE at +0.5h | p=0.262 pen=0.00 EV=280.3 seq=530.9 (best of 18 candidates),False,LIMIT_EXCEEDED
1094,payment_declined,HARD_DECLINE,1073.94,2,SWITCH_METHOD,48.0,SWITCH_METHOD at +48h | p=0.284 pen=0.12 EV=273.5 seq=516.5 (best of 15 candidates),False,LIMIT_EXCEEDED
1094,payment_declined,HARD_DECLINE,1073.94,3,RETRY,72.0,RETRY at +72h | p=0.335 pen=0.11 EV=328.8 seq=512.1 (best of 3 candidates),True,LIMIT_EXCEEDED
1106,gateway_technical_error,SOFT_TRANSIENT,673.22,1,RETRY,48.0,RETRY at +48h | p=0.835 pen=0.00 EV=559.8 seq=651.3 (best of 18 candidates),False,GATEWAY_ISSUE
1106,gateway_technical_error,SOFT_TRANSIENT,673.22,2,RETRY,120.0,RETRY at +120h | p=0.829 pen=0.00 EV=555.3 seq=646.8 (best of 3 candidates),True,GATEWAY_ISSUE
1111,credit_failed,HARD_DECLINE,1375.06,1,NUDGE,0.5,NUDGE at +0.5h | p=0.167 pen=0.00 EV=228.2 seq=563.7 (best of 18 candidates),False,LIMIT_EXCEEDED
1111,credit_failed,HARD_DECLINE,1375.06,2,NUDGE,2.0,NUDGE at +2h | p=0.180 pen=0.00 EV=247.1 seq=577.0 (best of 15 candidates),False,LIMIT_EXCEEDED
1111,credit_failed,HARD_DECLINE,1375.06,3,NUDGE,12.0,NUDGE at +12h | p=0.139 pen=0.00 EV=189.6 seq=536.4 (best of 13 candidates),False,LIMIT_EXCEEDED
1111,credit_failed,HARD_DECLINE,1375.06,4,RETRY,48.0,RETRY at +48h | p=0.296 pen=0.01 EV=402.5 seq=402.5 (best of 9 candidates),False,LIMIT_EXCEEDED
1171,card_declined,HARD_DECLINE,3402.09,1,RETRY,48.0,RETRY at +48h | p=0.454 pen=0.05 EV=1528.7 seq=2218.6 (best of 18 candidates),False,NO_FUNDS
1171,card_declined,HARD_DECLINE,3402.09,2,RETRY,72.0,RETRY at +72h | p=0.377 pen=0.07 EV=1262.8 seq=1883.8 (best of 3 candidates),False,NO_FUNDS
1171,card_declined,HARD_DECLINE,3402.09,3,RETRY,120.0,RETRY at +120h | p=0.299 pen=0.07 EV=996.6 seq=1683.0 (best of 2 candidates),False,NO_FUNDS
1171,card_declined,HARD_DECLINE,3402.09,4,RETRY,168.0,RETRY at +168h | p=0.293 pen=0.06 EV=979.2 seq=979.2 (best of 1 candidates),False,NO_FUNDS
1233,payment_timed_out,SOFT_TRANSIENT,1943.75,1,RETRY,0.5,RETRY at +0.5h | p=0.693 pen=0.00 EV=1343.8 seq=1670.4 (best of 18 candidates),True,GATEWAY_ISSUE
1241,bank_technical_error,SOFT_TRANSIENT,916.42,1,RETRY,48.0,RETRY at +48h | p=0.819 pen=0.00 EV=748.4 seq=883.6 (best of 18 candidates),True,ISSUER_DOWN
1255,payment_declined,HARD_DECLINE,609.38,1,RETRY,48.0,RETRY at +48h | p=0.437 pen=0.04 EV=254.5 seq=353.5 (best of 18 candidates),True,ISSUER_DOWN
1272,bank_technical_error,SOFT_TRANSIENT,2132.64,1,RETRY,48.0,RETRY at +48h | p=0.820 pen=0.00 EV=1745.4 seq=2059.7 (best of 18 candidates),True,ISSUER_DOWN
1274,payment_declined,HARD_DECLINE,4117.26,1,NUDGE,0.5,NUDGE at +0.5h | p=0.147 pen=0.00 EV=605.1 seq=1235.1 (best of 18 candidates),False,NO_FUNDS
1274,payment_declined,HARD_DECLINE,4117.26,2,NUDGE,2.0,NUDGE at +2h | p=0.180 pen=0.00 EV=738.7 seq=1093.0 (best of 15 candidates),False,NO_FUNDS
1274,payment_declined,HARD_DECLINE,4117.26,3,NUDGE,12.0,NUDGE at +12h | p=0.105 pen=0.00 EV=432.0 seq=770.3 (best of 13 candidates),False,NO_FUNDS
1274,payment_declined,HARD_DECLINE,4117.26,4,NUDGE,24.0,NUDGE at +24h | p=0.092 pen=0.00 EV=378.1 seq=378.1 (best of 9 candidates),False,NO_FUNDS
1311,credit_failed,HARD_DECLINE,3278.24,1,NUDGE,0.5,NUDGE at +0.5h | p=0.156 pen=0.00 EV=509.8 seq=1034.3 (best of 18 candidates),False,LIMIT_EXCEEDED
1311,credit_failed,HARD_DECLINE,3278.24,2,NUDGE,2.0,NUDGE at +2h | p=0.190 pen=0.00 EV=621.3 seq=1006.4 (best of 15 candidates),False,LIMIT_EXCEEDED
1311,credit_failed,HARD_DECLINE,3278.24,3,NUDGE,12.0,NUDGE at +12h | p=0.145 pen=0.00 EV=475.2 seq=835.8 (best of 13 candidates),False,LIMIT_EXCEEDED
1311,credit_failed,HARD_DECLINE,3278.24,4,NUDGE,24.0,NUDGE at +24h | p=0.129 pen=0.00 EV=421.9 seq=421.9 (best of 9 candidates),False,LIMIT_EXCEEDED
1356,invalid_vpa,METHOD_BROKEN,1331.4,1,SWITCH_METHOD,0.5,SWITCH_METHOD at +0.5h | p=0.418 pen=0.00 EV=553.9 seq=845.8 (best of 18 candidates),False,INSTRUMENT_STATE
1356,invalid_vpa,METHOD_BROKEN,1331.4,2,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.378 pen=0.00 EV=501.4 seq=813.0 (best of 15 candidates),True,INSTRUMENT_STATE
1360,card_declined,HARD_DECLINE,1791.65,1,NUDGE,0.5,NUDGE at +0.5h | p=0.260 pen=0.00 EV=464.7 seq=804.2 (best of 18 candidates),False,NO_FUNDS
1360,card_declined,HARD_DECLINE,1791.65,2,NUDGE,2.0,NUDGE at +2h | p=0.257 pen=0.00 EV=458.7 seq=651.9 (best of 15 candidates),False,NO_FUNDS
1360,card_declined,HARD_DECLINE,1791.65,3,NUDGE,12.0,NUDGE at +12h | p=0.145 pen=0.00 EV=259.8 seq=478.4 (best of 13 candidates),False,NO_FUNDS
1360,card_declined,HARD_DECLINE,1791.65,4,NUDGE,24.0,NUDGE at +24h | p=0.143 pen=0.00 EV=255.9 seq=255.9 (best of 9 candidates),False,NO_FUNDS
1366,authentication_failed,AUTH_FAILED,141.16,1,NUDGE,0.5,NUDGE at +0.5h | p=0.299 pen=0.00 EV=41.3 seq=68.8 (best of 18 candidates),False,AUTH_FAIL
1366,authentication_failed,AUTH_FAILED,141.16,2,NUDGE,2.0,NUDGE at +2h | p=0.284 pen=0.00 EV=39.2 seq=64.3 (best of 15 candidates),False,AUTH_FAIL
1366,authentication_failed,AUTH_FAILED,141.16,3,NUDGE,12.0,NUDGE at +12h | p=0.255 pen=0.00 EV=35.0 seq=57.8 (best of 13 candidates),False,AUTH_FAIL
1366,authentication_failed,AUTH_FAILED,141.16,4,NUDGE,48.0,NUDGE at +48h | p=0.223 pen=0.00 EV=30.6 seq=30.6 (best of 9 candidates),False,AUTH_FAIL
1424,payment_cancelled,ABANDONED,8553.04,1,NUDGE,2.0,NUDGE at +2h | p=0.351 pen=0.00 EV=3001.4 seq=5065.6 (best of 18 candidates),False,CUSTOMER_ABANDON
1424,payment_cancelled,ABANDONED,8553.04,2,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.288 pen=0.00 EV=2459.7 seq=4843.3 (best of 13 candidates),False,CUSTOMER_ABANDON
1424,payment_cancelled,ABANDONED,8553.04,3,NUDGE,12.0,NUDGE at +12h | p=0.391 pen=0.00 EV=3347.2 seq=4942.5 (best of 11 candidates),False,CUSTOMER_ABANDON
1424,payment_cancelled,ABANDONED,8553.04,4,NUDGE,24.0,NUDGE at +24h | p=0.307 pen=0.00 EV=2621.5 seq=2621.5 (best of 9 candidates),False,CUSTOMER_ABANDON
1441,authentication_failed,AUTH_FAILED,1939.37,1,NUDGE,0.5,NUDGE at +0.5h | p=0.303 pen=0.00 EV=587.4 seq=1051.4 (best of 18 candidates),True,AUTH_FAIL
1460,payment_failed,HARD_DECLINE,487.0,1,RETRY,72.0,RETRY at +72h | p=0.668 pen=0.03 EV=316.1 seq=372.9 (best of 18 candidates),True,NO_FUNDS
1465,payment_declined,HARD_DECLINE,558.62,1,RETRY,72.0,RETRY at +72h | p=0.590 pen=0.02 EV=322.3 seq=410.8 (best of 18 candidates),True,NO_FUNDS
1471,insufficient_funds,FUNDS,748.02,1,RETRY,0.5,RETRY at +0.5h | p=0.806 pen=0.00 EV=600.7 seq=683.1 (best of 18 candidates),True,NO_FUNDS
1481,gateway_technical_error,SOFT_TRANSIENT,2201.14,1,RETRY,2.0,RETRY at +2h | p=0.829 pen=0.00 EV=1822.3 seq=2136.5 (best of 18 candidates),True,GATEWAY_ISSUE
1492,payment_declined,HARD_DECLINE,2124.97,1,NUDGE,0.5,NUDGE at +0.5h | p=0.211 pen=0.00 EV=446.7 seq=952.6 (best of 18 candidates),False,AUTH_FAIL
1492,payment_declined,HARD_DECLINE,2124.97,2,NUDGE,2.0,NUDGE at +2h | p=0.187 pen=0.00 EV=396.3 seq=917.4 (best of 15 candidates),True,AUTH_FAIL
1494,gateway_technical_error,SOFT_TRANSIENT,5193.04,1,RETRY,48.0,RETRY at +48h | p=0.800 pen=0.00 EV=4152.2 seq=5030.9 (best of 18 candidates),True,GATEWAY_ISSUE
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,1,RETRY,48.0,RETRY at +48h | p=0.611 pen=0.00 EV=899.4 seq=1169.1 (best of 18 candidates),False,CUSTOMER_ABANDON
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,2,RETRY,120.0,RETRY at +120h | p=0.467 pen=0.00 EV=686.1 seq=971.9 (best of 3 candidates),False,CUSTOMER_ABANDON
1507,payment_timed_out,SOFT_TRANSIENT,1475.32,3,RETRY,168.0,RETRY at +168h | p=0.365 pen=0.00 EV=536.0 seq=536.0 (best of 1 candidates),False,CUSTOMER_ABANDON
1578,gateway_technical_error,SOFT_TRANSIENT,649.32,1,RETRY,48.0,RETRY at +48h | p=0.816 pen=0.00 EV=527.3 seq=623.5 (best of 18 candidates),True,GATEWAY_ISSUE
1579,payment_declined,HARD_DECLINE,2890.5,1,NUDGE,0.5,NUDGE at +0.5h | p=0.282 pen=0.00 EV=814.3 seq=1520.2 (best of 18 candidates),False,NO_FUNDS
1579,payment_declined,HARD_DECLINE,2890.5,2,NUDGE,2.0,NUDGE at +2h | p=0.238 pen=0.00 EV=686.2 seq=1435.7 (best of 15 candidates),True,NO_FUNDS
1659,payment_failed,HARD_DECLINE,846.2,1,RETRY,48.0,RETRY at +48h | p=0.558 pen=0.02 EV=465.9 seq=606.8 (best of 18 candidates),True,ISSUER_DOWN
1675,payment_cancelled,ABANDONED,309.15,1,NUDGE,0.5,NUDGE at +0.5h | p=0.198 pen=0.00 EV=60.4 seq=113.1 (best of 18 candidates),False,CUSTOMER_ABANDON
1675,payment_cancelled,ABANDONED,309.15,2,NUDGE,2.0,NUDGE at +2h | p=0.215 pen=0.00 EV=65.7 seq=114.8 (best of 15 candidates),False,CUSTOMER_ABANDON
1675,payment_cancelled,ABANDONED,309.15,3,NUDGE,12.0,NUDGE at +12h | p=0.194 pen=0.00 EV=59.0 seq=109.5 (best of 13 candidates),False,CUSTOMER_ABANDON
1675,payment_cancelled,ABANDONED,309.15,4,NUDGE,24.0,NUDGE at +24h | p=0.206 pen=0.00 EV=62.6 seq=62.6 (best of 9 candidates),False,CUSTOMER_ABANDON
1699,bank_technical_error,SOFT_TRANSIENT,465.4,1,RETRY,120.0,RETRY at +120h | p=0.847 pen=0.00 EV=391.6 seq=450.6 (best of 18 candidates),True,ISSUER_DOWN
1719,payment_cancelled,ABANDONED,845.13,1,NUDGE,2.0,NUDGE at +2h | p=0.213 pen=0.00 EV=178.9 seq=322.8 (best of 18 candidates),False,CUSTOMER_ABANDON
1719,payment_cancelled,ABANDONED,845.13,2,NUDGE,12.0,NUDGE at +12h | p=0.217 pen=0.00 EV=182.7 seq=311.9 (best of 13 candidates),False,CUSTOMER_ABANDON
1719,payment_cancelled,ABANDONED,845.13,3,NUDGE,24.0,NUDGE at +24h | p=0.196 pen=0.00 EV=165.0 seq=290.3 (best of 9 candidates),True,CUSTOMER_ABANDON
1725,insufficient_funds,FUNDS,1721.38,1,NUDGE,0.5,NUDGE at +0.5h | p=0.234 pen=0.00 EV=402.4 seq=758.4 (best of 18 candidates),True,NO_FUNDS
